document_id,authors,title
0809.0182,"[{'keyname': 'Xie', 'forenames': 'Z. Y.'}, {'keyname': 'Jiang', 'forenames': 'H. C.'}, {'keyname': 'Chen', 'forenames': 'Q. N.'}, {'keyname': 'Weng', 'forenames': 'Z. Y.'}, {'keyname': 'Xiang', 'forenames': 'T.'}]",Second Renormalization of Tensor-Network States
0810.0725,"[{'keyname': 'Shadrin', 'forenames': 'S.'}]",BCOV theory via Givental group action on cohomological field theories
0909.0800,"[{'keyname': 'Shadrin', 'forenames': 'Sergey'}, {'keyname': 'Zvonkine', 'forenames': 'Dimitri'}]",A group action on Losev-Manin cohomological field theories
0911.2157,"[{'keyname': 'Herrero', 'forenames': 'R.'}, {'keyname': 'Pi', 'forenames': 'F.'}, {'keyname': 'Rius', 'forenames': 'J.'}, {'keyname': 'Orriols', 'forenames': 'G.'}]",About the oscillatory possibilities of the dynamical systems
0912.5115,"[{'keyname': 'Buryak', 'forenames': 'A.'}, {'keyname': 'Shadrin', 'forenames': 'S.'}]",A new proof of Faber's intersection number conjecture
1009.5351,"[{'keyname': 'Buryak', 'forenames': 'A.'}, {'keyname': 'Posthuma', 'forenames': 'H.'}, {'keyname': 'Shadrin', 'forenames': 'S.'}]",A polynomial bracket for the Dubrovin--Zhang hierarchies
1011.2060,"[{'keyname': 'Cai', 'forenames': 'J. W.'}, {'keyname': 'Chen', 'forenames': 'Q. N.'}, {'keyname': 'Zhao', 'forenames': 'H. H.'}, {'keyname': 'Xie', 'forenames': 'Z. Y.'}, {'keyname': 'Qin', 'forenames': 'M. P.'}, {'keyname': 'Wei', 'forenames': 'Z. C.'}, {'keyname': 'Xiang', 'forenames': 'T.'}]",Translation invariant tensor product states in a finite lattice system
1209.1018,"[{'keyname': 'Kellner', 'forenames': 'Bernd C.'}]",Identities between polynomials related to Stirling and harmonic numbers
1211.5273,"[{'keyname': 'Buryak', 'forenames': 'A.'}, {'keyname': 'Shadrin', 'forenames': 'S.'}, {'keyname': 'Spitz', 'forenames': 'L.'}, {'keyname': 'Zvonkine', 'forenames': 'D.'}]",Integrals of psi-classes over double ramification cycles
1301.5580,"[{'keyname': 'Mulase', 'forenames': 'Motohico'}, {'keyname': 'Shadrin', 'forenames': 'Sergey'}, {'keyname': 'Spitz', 'forenames': 'Loek'}]",The spectral curve and the Schroedinger equation of double Hurwitz  numbers and higher spin structures
1304.3343,"[{'keyname': 'Dotsenko', 'forenames': 'Vladimir'}, {'keyname': 'Shadrin', 'forenames': 'Sergey'}, {'keyname': 'Vallette', 'forenames': 'Bruno'}]",Givental Action and Trivialisation of Circle Action
1304.7146,"[{'keyname': 'Qin', 'forenames': 'M. P.'}, {'keyname': 'Chen', 'forenames': 'J.'}, {'keyname': 'Chen', 'forenames': 'Q. N.'}, {'keyname': 'Xie', 'forenames': 'Z. Y.'}, {'keyname': 'Kong', 'forenames': 'X.'}, {'keyname': 'Zhao', 'forenames': 'H. H.'}, {'keyname': 'Normand', 'forenames': 'B.'}, {'keyname': 'Xiang', 'forenames': 'T.'}]",Partial order in Potts models on the generalized decorated square  lattice
